,name,unit,iou,label,category
0,MoCoV2(R),0,0.11151256412267685,ceiling-b,part
1,MoCoV2(R),1,0.01716701127588749,metal,material
2,MoCoV2(R),2,0.04475478082895279,train,object
3,MoCoV2(R),3,0.08440165221691132,torso,part
4,MoCoV2(R),4,0.04163050651550293,snow,object
5,MoCoV2(R),5,0.028294607996940613,water,object
6,MoCoV2(R),6,0.07115823775529861,food,material
7,MoCoV2(R),7,0.03676918148994446,leg,part
8,MoCoV2(R),8,0.06498319655656815,grandstand,object
9,MoCoV2(R),9,0.04114043712615967,train,object
10,MoCoV2(R),10,0.096760094165802,snow,object
11,MoCoV2(R),11,0.034318577498197556,bed,object
12,MoCoV2(R),12,0.09283649176359177,mountain,object
13,MoCoV2(R),13,0.08474265784025192,plant,object
14,MoCoV2(R),14,0.031236864626407623,waterfall,object
15,MoCoV2(R),15,0.03136425092816353,white,color
16,MoCoV2(R),16,0.035027291625738144,paper,material
17,MoCoV2(R),17,0.03053387813270092,building-r,part
18,MoCoV2(R),18,0.04337964206933975,tile,material
19,MoCoV2(R),19,0.0446540005505085,seat,object
20,MoCoV2(R),20,0.05764682963490486,person-r,part
21,MoCoV2(R),21,0.0655093565583229,airplane,object
22,MoCoV2(R),22,0.03403517231345177,skin,material
23,MoCoV2(R),23,0.04434967413544655,wall-b,part
24,MoCoV2(R),24,0.04454466328024864,house,object
25,MoCoV2(R),25,0.04117114469408989,car-b,part
26,MoCoV2(R),26,0.05244741961359978,tree-b,part
27,MoCoV2(R),27,0.03244027867913246,car,object
28,MoCoV2(R),28,0.02557726390659809,white,color
29,MoCoV2(R),29,0.0919165387749672,car,object
30,MoCoV2(R),30,0.024512233212590218,black,color
31,MoCoV2(R),31,0.021970048546791077,person-r,part
32,MoCoV2(R),32,0.027451930567622185,torso,part
33,MoCoV2(R),33,0.040513861924409866,bed,object
34,MoCoV2(R),34,0.08257404714822769,skin,material
35,MoCoV2(R),35,0.02283625490963459,bed,object
36,MoCoV2(R),36,0.05767754092812538,airplane,object
37,MoCoV2(R),37,0.0898294746875763,person-r,part
38,MoCoV2(R),38,0.03461887314915657,building-r,part
39,MoCoV2(R),39,0.09367810934782028,car,object
40,MoCoV2(R),40,0.05985173210501671,wall-t,part
41,MoCoV2(R),41,0.04167073592543602,person-r,part
42,MoCoV2(R),42,0.03642227500677109,boat,object
43,MoCoV2(R),43,0.02889852412045002,person-b,part
44,MoCoV2(R),44,0.03065541386604309,table,object
